"","Miasto Wrocław","Miasto Szczecin","Bialski","Łomżyński","Wrocławski","Nowotarski","Oświęcimski","Zielonogórski","Kaliski","Poznański","Siedlecki","Ostrołęcki","Białostocki","Miasto Kraków","Olsztyński","Ełcki","Trójmiejski","Gdański","Słupski","Opolski","Bydgosko-toruński","Radomski","Skierniewicki","Kielecki","Sandomiersko-jędrzejowski","Nyski","Puławski","Włocławski","Łódzki","Chojnicki","Starogardzki","Miasto Łódź","Leszczyński","Jeleniogórski","Legnicko-głogowski","Tarnobrzeski","Koniński","Szczecinecko-pyrzycki","Tyski","Sieradzki","Rzeszowski","Szczeciński","Bytomski","Gliwicki","Katowicki","Koszaliński","Suwalski","Lubelski","Wałbrzyski","Miasto Warszawa","Tarnowski","Piotrkowski","Warszawski wschodni","Pilski","Nowosądecki","Elbląski","Sosnowiecki","Krośnieński","Krakowski","Częstochowski","Grudziądzki","Chełmsko-zamojski","Bielski","Rybnicki","Miasto Poznań","Warszawski zachodni","Inowrocławski","Świecki","Gorzowski","Przemyski","Żyrardowski","Ciechanowski","Płocki"
"48",-0.8,-2.5,-1.5,-1,-1.6,-1.8,-1.9,-2.3,-1.9,-1,-1.4,-2,-1.3,-0.699999999999999,-2.4,-2.5,-1.2,-2.3,-3.2,-0.9,-1.9,-2,-1.2,-1.6,-1.7,-2.9,-1.3,-2.7,-1.7,-2.5,-3.2,-1.2,-1.3,-2.5,-1.6,-1.5,-2.3,-2.3,-1,-1.7,-1.1,-2.3,-1.5,-1.3,-1,-2.4,-0.9,-0.700000000000001,-2.9,-0.9,-1.5,-2.1,-1.9,-2.9,-1.4,-2.8,-1.6,-1.6,-2,-2.7,-2.6,-0.700000000000001,-1.6,-0.9,-0.7,-1.1,-2.4,-2.5,-1.4,-1.4,-1.6,-1.3,-2.2
"49",-0.8,-2.5,-1.4,-1.1,-1.6,-1.7,-1.8,-2.3,-1.9,-1.1,-1.6,-1.9,-1.3,-0.7,-2.4,-2.8,-1.3,-2.4,-3.1,-1,-1.9,-2.1,-1.3,-1.6,-1.8,-2.9,-1.4,-2.8,-1.9,-2.6,-3.4,-1.1,-1.4,-2.6,-1.8,-1.6,-2.5,-2.4,-1,-1.8,-1.3,-2.5,-1.7,-1.4,-1.1,-2.5,-1,-0.9,-3.1,-0.9,-1.6,-2.1,-1.8,-3,-1.4,-2.9,-1.7,-1.6,-2,-2.7,-2.5,-0.700000000000001,-1.7,-0.9,-0.7,-1.2,-2.4,-2.5,-1.3,-1.4,-1.6,-1.4,-2.4
"50",-0.6,-2.2,-1.5,-1.1,-1.7,-1.7,-1.7,-2.4,-2,-1.2,-1.4,-1.8,-1.3,-0.7,-2.2,-2.8,-1.2,-2.3,-3,-1,-1.7,-2,-1.2,-1.9,-1.7,-2.9,-1.4,-2.7,-1.9,-2.8,-3.2,-1.1,-1.4,-2.5,-1.7,-1.6,-2.4,-2.5,-1.1,-1.7,-1.3,-2.3,-1.7,-1.4,-1.1,-2.4,-1.2,-0.800000000000001,-3,-0.8,-1.5,-2.1,-1.7,-2.8,-1.4,-2.7,-1.7,-1.6,-2.1,-2.5,-2.5,-0.9,-1.6,-1,-0.8,-1.2,-2.2,-2,-1.2,-1.5,-1.6,-1.3,-2.3
"51",-0.7,-2.3,-1.2,-1.2,-1.5,-1.8,-1.9,-2.4,-2,-1,-1.4,-1.6,-1.4,-0.8,-2.1,-2.8,-1.2,-2.5,-3,-0.9,-1.6,-1.9,-1.4,-1.9,-1.7,-2.9,-1.4,-2.5,-2,-2.9,-3,-1.3,-1.3,-2.5,-1.7,-1.7,-2.2,-2.5,-1.1,-1.7,-1.1,-2.3,-1.7,-1.5,-1.2,-2.7,-1.3,-0.9,-3,-0.9,-1.5,-2.1,-1.7,-2.8,-1.6,-2.1,-1.9,-1.6,-2,-2.6,-2.3,-0.800000000000001,-1.6,-1.1,-0.7,-1.1,-2.1,-1.9,-1.5,-1.6,-1.5,-1.3,-2.2
"52",-0.7,-2.5,-1.4,-1.3,-1.6,-1.5,-1.9,-2.5,-1.9,-1,-1.4,-1.8,-1.3,-0.6,-2,-2.9,-1.3,-2.4,-2.9,-1,-1.5,-2,-1.5,-1.9,-2,-3,-1.4,-2.2,-2.3,-3.2,-2.7,-1.6,-1.4,-2.4,-1.5,-1.9,-2,-2.7,-1,-1.8,-1.3,-2,-1.7,-1.5,-1.2,-3,-1.3,-0.9,-3,-0.8,-1.5,-2.2,-1.6,-2.8,-1.7,-2.2,-1.8,-1.7,-1.9,-2.7,-2.2,-1,-1.4,-1.1,-0.7,-1.2,-2.2,-1.6,-1.8,-1.7,-1.3,-1.5,-2.1
"53",-0.7,-2.3,-1.2,-1,-1.4,-1.5,-1.9,-2.4,-1.9,-1.1,-1.3,-1.8,-1.5,-0.7,-1.9,-3,-1.2,-2.2,-2.9,-1,-1.5,-1.8,-1.5,-2,-1.5,-2.7,-1.2,-1.6,-2.1,-2.6,-2.4,-1.6,-1.4,-2.2,-1.4,-1.7,-2,-2.6,-1,-1.7,-1.3,-2,-1.5,-1.7,-1.2,-3,-1.2,-0.9,-2.9,-0.8,-1.6,-2,-1.6,-2.6,-1.7,-2.2,-1.9,-1.6,-1.7,-2.8,-2,-1,-1.6,-1,-0.7,-1.2,-1.8,-1.8,-1.6,-1.5,-1.1,-1.3,-1.7
"54",-0.7,-2.4,-1.1,-0.799999999999999,-1.3,-1.5,-2,-2.4,-1.7,-1,-1.2,-1.6,-1.5,-0.7,-2.2,-3,-1.2,-2.4,-2.7,-1,-1.3,-1.9,-1.4,-2,-1.2,-1.9,-1,-1.3,-2.1,-2.2,-2.3,-1.8,-1.2,-2,-1.1,-1.5,-2,-2.7,-0.800000000000001,-1.7,-1.1,-1.9,-1.6,-2,-1.3,-2.9,-1.2,-0.899999999999999,-2.4,-0.7,-1.6,-1.9,-1.4,-2.4,-1.9,-2.1,-1.8,-1.5,-1.5,-2.7,-1.7,-1.1,-1.5,-0.799999999999999,-0.6,-1.1,-1.6,-1.5,-1.7,-1.2,-1,-1.2,-1.6
"55",-0.6,-2.3,-1,-0.799999999999999,-1,-1.5,-2.1,-2.2,-1.6,-1,-1.2,-1.4,-1.4,-0.8,-2.1,-2.8,-1,-2.2,-2.5,-1,-1.3,-1.9,-1.3,-2,-1.1,-1.5,-0.9,-1.2,-1.9,-2.2,-2.2,-1.7,-1.1,-1.9,-1.2,-1.4,-1.8,-2.6,-0.8,-1.7,-1.2,-1.9,-1.5,-2.1,-1.4,-2.4,-1.1,-0.9,-2.3,-0.7,-1.5,-2,-1.2,-2,-2.2,-2.1,-1.8,-1.6,-1.5,-2.8,-1.8,-1.3,-1.6,-1,-0.6,-1.1,-1.7,-1.7,-1.7,-1.2,-1,-1.2,-1.6
"56",-0.6,-2.3,-1.1,-0.799999999999999,-1,-1.4,-2.3,-2.1,-1.6,-1,-1.2,-1.4,-1.4,-0.7,-2.1,-2.8,-1,-2.2,-2.4,-0.899999999999999,-1.1,-2.1,-1.1,-2,-0.899999999999999,-1.3,-0.800000000000001,-1.1,-1.9,-2.3,-2.1,-1.6,-1,-1.8,-1.2,-1.5,-1.7,-2.4,-0.9,-1.7,-1,-2.1,-1.8,-1.8,-1.4,-2.3,-0.799999999999999,-0.9,-2.4,-0.8,-1.5,-1.8,-1.1,-1.9,-2.3,-2.2,-1.6,-1.5,-1.5,-2.7,-1.7,-1.4,-1.4,-1,-0.5,-1.1,-1.6,-1.7,-1.6,-1.1,-1,-1.4,-1.5
"57",-0.5,-2.4,-1,-0.800000000000001,-0.999999999999999,-1.5,-2.3,-2.2,-1.5,-0.8,-1.3,-1.3,-1.4,-0.8,-2,-2.8,-0.8,-2.1,-2.6,-0.800000000000001,-1.1,-2.2,-1.1,-1.7,-0.800000000000001,-1.1,-1,-1,-2.1,-2.3,-2.3,-1.5,-1.1,-1.7,-1.1,-1.6,-1.7,-2.4,-0.8,-1.7,-1.2,-1.9,-1.8,-1.8,-1.3,-2.4,-1,-1,-2.1,-0.7,-1.7,-1.8,-1.2,-1.9,-2.5,-2.3,-1.6,-1.7,-1.5,-2.6,-1.6,-1.4,-1.4,-1,-0.5,-1.2,-1.6,-1.8,-1.6,-1,-0.9,-1.7,-1.6
